STATE,YEAR,MONTH,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Total_Generation_MWh,Renewable_Generation_MWh,Fossil_Generation_MWh,Nuclear_Generation_MWh,Renewable_Share_Pct,Fossil_Share_Pct,Nuclear_Share_Pct,Total_Consumption_MWh,Avg_Temp_F,Real_GDP_Millions,GDP_Growth_Rate_Annual,Has_RPS,RPS_Target_Pct,RPS_Implementation_Year,Years_Since_RPS,CO2_Intensity_Tons_per_MWh,date,High_Demand_Month,Temp_Extreme,Fossil_Intensity,CO2_Emissions_Tons_Proxy,CO2_Intensity_Proxy,CO2_Intensity_Combined,High_Fossil_Backup
AK,2001,1,46903.0,0.0,104549.0,367521.0,0.0,0.0,0.0,0.0,71085.0,0.0,0.0,590145.0,87.0,0.0,590145.0,104636.0,485509.0,0.0,17.730557744283185,82.26944225571683,0.0,8227760.0,,,,0,0.0,,0.0,,2001-01-01,1,0,82.26944225571683,295224.425,0.5002574367316507,0.5002574367316507,0
AK,2001,2,54056.0,0.0,90111.0,334016.0,0.0,0.0,0.0,0.0,67910.0,0.0,0.0,546167.0,74.0,0.0,546167.0,90185.0,455982.0,0.0,16.51234878709259,83.48765121290741,0.0,7819724.0,,,,0,0.0,,0.0,,2001-02-01,1,0,83.48765121290741,284573.87,0.5210381989391523,0.5210381989391523,1
AK,2001,3,51920.0,0.0,99843.0,343858.0,0.0,0.0,0.0,0.0,91413.0,0.0,0.0,587115.0,81.0,0.0,587115.0,99924.0,487191.0,0.0,17.019493625609975,82.98050637439003,0.0,8262796.0,,,,0,0.0,,0.0,,2001-03-01,0,0,82.98050637439003,311701.03500000003,0.5309028640044966,0.5309028640044966,0
AK,2001,4,37590.0,0.0,84615.0,290050.0,0.0,0.0,0.0,0.0,76372.0,0.0,0.0,488698.0,71.0,0.0,488698.0,84686.0,404012.0,0.0,17.328902512390066,82.67109748760994,0.0,6604610.0,,,,0,0.0,,0.0,,2001-04-01,0,0,82.67109748760994,255221.78,0.5222484642867374,0.5222484642867374,0
AK,2001,5,40986.0,0.0,85130.0,283468.0,0.0,0.0,0.0,0.0,75034.0,0.0,0.0,484687.0,69.0,0.0,484687.0,85199.0,399488.0,0.0,17.57814837204216,82.42185162795784,0.0,6348336.0,,,,0,0.0,,0.0,,2001-05-01,0,0,82.42185162795784,254588.54,0.5252638094275275,0.5252638094275275,0
AK,2001,6,39411.0,0.0,118354.0,272074.0,0.0,0.0,0.0,0.0,58095.0,0.0,0.0,488004.0,70.0,0.0,488004.0,118424.0,369580.0,0.0,24.2670142048016,75.7329857951984,0.0,6666120.0,,,,0,0.0,,0.0,,2001-06-01,1,0,75.7329857951984,229608.11,0.470504565536348,0.470504565536348,0
AK,2001,7,55082.0,0.0,120671.0,314583.0,0.0,0.0,0.0,0.0,63515.0,0.0,0.0,553925.0,74.0,0.0,553925.0,120745.0,433180.0,0.0,21.79807735704292,78.20192264295707,0.0,7365782.0,,,,0,0.0,,0.0,,2001-07-01,1,0,78.20192264295707,272195.17,0.49139354605767926,0.49139354605767926,0
AK,2001,8,65143.0,0.0,123284.0,331115.0,0.0,0.0,0.0,0.0,67181.0,0.0,0.0,586796.0,73.0,0.0,586796.0,123357.0,463439.0,0.0,21.022126940197275,78.97787305980273,0.0,8172148.0,,,,0,0.0,,0.0,,2001-08-01,1,0,78.97787305980273,294839.53500000003,0.5024566203586938,0.5024566203586938,0
AK,2001,9,58910.0,0.0,154816.0,355210.0,0.0,0.0,0.0,0.0,71144.0,0.0,0.0,640166.0,86.0,0.0,640166.0,154902.0,485264.0,0.0,24.19716136127192,75.80283863872808,0.0,7418408.0,,,,0,0.0,,0.0,,2001-09-01,0,0,75.80283863872808,303073.56,0.4734296416866875,0.4734296416866875,0
AK,2001,10,38751.0,0.0,134918.0,314444.0,0.0,0.0,0.0,0.0,91507.0,0.0,0.0,579703.0,83.0,0.0,579703.0,135001.0,444702.0,0.0,23.287959524101133,76.71204047589887,0.0,7893010.0,,,,0,0.0,,0.0,,2001-10-01,0,0,76.71204047589887,283734.34,0.48944776894375225,0.48944776894375225,0
AK,2001,11,37497.0,0.0,102481.0,325654.0,0.0,0.0,0.0,0.0,98718.0,0.0,0.0,564436.0,86.0,0.0,564436.0,102567.0,461869.0,0.0,18.17159075608218,81.82840924391782,0.0,7643462.0,,,,0,0.0,,0.0,,2001-11-01,0,0,81.82840924391782,295116.395,0.5228518290824824,0.5228518290824824,0
AK,2001,12,38344.0,0.0,126892.0,363575.0,0.0,0.0,0.0,0.0,105016.0,0.0,0.0,633924.0,97.0,0.0,633924.0,126989.0,506935.0,0.0,20.032212063275722,79.96778793672428,0.0,8242234.0,,,,0,0.0,,0.0,,2001-12-01,1,0,79.96778793672428,320022.225,0.5048274319950026,0.5048274319950026,0
AK,2002,1,51623.0,0.0,118944.0,366390.0,0.0,0.0,999.0,0.0,108569.0,0.0,0.0,646618.0,0.0,93.0,646618.0,120036.0,526582.0,0.0,18.563665100569423,81.43633489943058,0.0,7608283.0,,,,0,0.0,,0.0,,2002-01-01,1,0,81.43633489943058,339893.08,0.5256474147023436,0.5256474147023436,0
AK,2002,2,44698.0,0.0,111686.0,296649.0,0.0,0.0,843.0,0.0,96178.0,0.0,0.0,550132.0,0.0,78.0,550132.0,112607.0,437525.0,0.0,20.469087419019434,79.53091258098056,0.0,6564437.0,,,,0,0.0,,0.0,,2002-02-01,1,0,79.53091258098056,287243.135,0.5221349330706085,0.5221349330706085,0
AK,2002,3,48946.0,0.0,114826.0,322785.0,0.0,0.0,917.0,0.0,98048.0,0.0,0.0,585608.0,0.0,85.0,585607.0,115828.0,469779.0,0.0,19.779135153780608,80.2208648462194,0.0,7376592.0,,,,0,0.0,,0.0,,2002-03-01,0,0,80.2208648462194,305863.085,0.5223009373180307,0.5223009373180307,0
AK,2002,4,43484.0,0.0,111309.0,313978.0,0.0,0.0,871.0,0.0,69662.0,0.0,0.0,539384.0,0.0,81.0,539385.0,112261.0,427124.0,0.0,20.812777515132975,79.18722248486702,0.0,6970475.0,,,,0,0.0,,0.0,,2002-04-01,0,0,79.18722248486702,265534.68,0.492291554270141,0.492291554270141,0
AK,2002,5,48711.0,0.0,108504.0,301216.0,0.0,0.0,918.0,0.0,71159.0,0.0,0.0,530593.0,0.0,85.0,530593.0,109507.0,421086.0,0.0,20.63860623868012,79.36139376131989,0.0,6743978.0,,,,0,0.0,,0.0,,2002-05-01,0,0,79.36139376131989,267150.38,0.5034939774931068,0.5034939774931068,0
AK,2002,6,35819.0,0.0,116831.0,271101.0,0.0,0.0,684.0,0.0,99827.0,0.0,0.0,524325.0,0.0,63.0,524325.0,117578.0,406747.0,0.0,22.424641205359272,77.57535879464072,0.0,6851040.0,,,,0,0.0,,0.0,,2002-06-01,1,0,77.57535879464072,269604.895,0.514194240213608,0.514194240213608,0
AK,2002,7,44648.0,0.0,119156.0,300814.0,0.0,0.0,816.0,0.0,65804.0,0.0,0.0,531314.0,0.0,76.0,531314.0,120048.0,411266.0,0.0,22.594548609673375,77.40545139032663,0.0,7601541.0,,,,0,0.0,,0.0,,2002-07-01,1,0,77.40545139032663,256734.14999999997,0.4832060702334212,0.4832060702334212,0
AK,2002,8,46430.0,0.0,116574.0,277915.0,0.0,0.0,854.0,0.0,65450.0,0.0,0.0,507302.0,0.0,79.0,507302.0,117507.0,389795.0,0.0,23.163125712100484,76.83687428789952,0.0,7043034.0,,,,0,0.0,,0.0,,2002-08-01,1,0,76.83687428789952,247925.025,0.48871288699827714,0.48871288699827714,0
AK,2002,9,52500.0,0.0,108927.0,307926.0,0.0,0.0,1040.0,0.0,69469.0,0.0,0.0,539958.0,0.0,96.0,539958.0,110063.0,429895.0,0.0,20.383622429892696,79.6163775701073,0.0,7265752.0,,,,0,0.0,,0.0,,2002-09-01,0,0,79.6163775701073,272628.315,0.5049065205071506,0.5049065205071506,0
AK,2002,10,54482.0,0.0,121399.0,326514.0,0.0,0.0,1089.0,0.0,74921.0,0.0,0.0,578506.0,0.0,101.0,578506.0,122589.0,455917.0,0.0,21.190618593411305,78.8093814065887,0.0,7772317.0,,,,0,0.0,,0.0,,2002-10-01,0,0,78.8093814065887,289102.165,0.4997392680456209,0.4997392680456209,0
AK,2002,11,49368.0,0.0,148866.0,317644.0,0.0,0.0,993.0,0.0,67540.0,0.0,0.0,584503.0,0.0,92.0,584503.0,149951.0,434552.0,0.0,25.654444887365845,74.34555511263416,0.0,7112088.0,,,,0,0.0,,0.0,,2002-11-01,0,0,74.34555511263416,271503.44,0.46450307355137616,0.46450307355137616,0
AK,2002,12,54577.0,0.0,142329.0,375229.0,0.0,0.0,1100.0,0.0,75742.0,0.0,0.0,649079.0,0.0,102.0,649079.0,143531.0,505548.0,0.0,22.11302476277926,77.88697523722074,0.0,8317605.0,,,,0,0.0,,0.0,,2002-12-01,1,0,77.88697523722074,312247.77999999997,0.4810628290238938,0.4810628290238938,0
AK,2003,1,54048.0,0.0,135163.0,343856.0,0.0,0.0,483.0,0.0,75785.0,0.0,0.0,609407.0,0.0,73.0,609408.0,135719.0,473689.0,0.0,22.270629857172864,77.72937014282714,0.0,7523333.0,,,,0,0.0,,0.0,,2003-01-01,1,0,77.72937014282714,297429.025,0.48806222596355814,0.48806222596355814,0
AK,2003,2,48861.0,0.0,125679.0,298754.0,0.0,0.0,428.0,0.0,66090.0,0.0,0.0,539875.0,0.0,65.0,539877.0,126172.0,413705.0,0.0,23.370508467669488,76.6294915323305,0.0,6659447.0,,,,0,0.0,,0.0,,2003-02-01,1,0,76.6294915323305,260798.935,0.48307102358500176,0.48307102358500176,0
AK,2003,3,52134.0,0.0,148011.0,297698.0,0.0,0.0,442.0,0.0,59334.0,0.0,0.0,557686.0,0.0,67.0,557686.0,148520.0,409166.0,0.0,26.63147362494307,73.36852637505693,0.0,6453442.0,,,,0,0.0,,0.0,,2003-03-01,0,0,73.36852637505693,256772.71,0.4604252392923616,0.4604252392923616,0
AK,2003,4,43262.0,0.0,119055.0,266724.0,0.0,0.0,388.0,0.0,60237.0,0.0,0.0,489725.0,0.0,59.0,489725.0,119502.0,370223.0,0.0,24.401858185716474,75.59814181428352,0.0,5856675.0,,,,0,0.0,,0.0,,2003-04-01,0,0,75.59814181428352,233748.955,0.4773065598039716,0.4773065598039716,0
AK,2003,5,46952.0,0.0,116189.0,256808.0,0.0,0.0,381.0,0.0,59373.0,0.0,0.0,479760.0,0.0,58.0,479761.0,116628.0,363133.0,0.0,24.309604157069874,75.69039584293013,0.0,5692644.0,,,,0,0.0,,0.0,,2003-05-01,0,0,75.69039584293013,232431.365,0.48447323771627954,0.48447323771627954,0
AK,2003,6,35864.0,0.0,103622.0,259973.0,0.0,0.0,362.0,0.0,57786.0,0.0,0.0,457662.0,0.0,55.0,457662.0,104039.0,353623.0,0.0,22.732715410062447,77.26728458993756,0.0,6181130.0,,,,0,0.0,,0.0,,2003-06-01,1,0,77.26728458993756,219818.165,0.48030678754189776,0.48030678754189776,0
AK,2003,7,29524.0,0.0,118033.0,273469.0,0.0,0.0,388.0,0.0,70637.0,0.0,0.0,492110.0,0.0,59.0,492110.0,118480.0,373630.0,0.0,24.07591798581618,75.92408201418382,0.0,6479714.0,,,,0,0.0,,0.0,,2003-07-01,1,0,75.92408201418382,232576.06,0.47260990428969135,0.47260990428969135,0
AK,2003,8,31179.0,0.0,131476.0,243302.0,0.0,0.0,371.0,0.0,65888.0,0.0,0.0,472271.0,0.0,56.0,472272.0,131903.0,340369.0,0.0,27.929455906765593,72.07054409323442,0.0,6066448.0,,,,0,0.0,,0.0,,2003-08-01,1,0,72.07054409323442,215637.715,0.45659644230443475,0.45659644230443475,0
AK,2003,9,47207.0,0.0,140998.0,242622.0,0.0,0.0,397.0,0.0,70771.0,0.0,0.0,502055.0,0.0,60.0,502055.0,141455.0,360600.0,0.0,28.17519992829471,71.82480007170528,0.0,6002786.0,,,,0,0.0,,0.0,,2003-09-01,0,0,71.82480007170528,238399.93,0.47484823375924945,0.47484823375924945,0
AK,2003,10,51834.0,0.0,155788.0,253137.0,0.0,0.0,428.0,0.0,79164.0,0.0,0.0,540416.0,0.0,65.0,540416.0,156281.0,384135.0,0.0,28.91864785646613,71.08135214353388,0.0,6498245.0,,,,0,0.0,,0.0,,2003-10-01,0,0,71.08135214353388,257281.90499999997,0.47608121336155845,0.47608121336155845,0
AK,2003,11,51891.0,0.0,147737.0,288051.0,0.0,0.0,449.0,0.0,77913.0,0.0,0.0,566108.0,0.0,68.0,566109.0,148254.0,417855.0,0.0,26.18824290021886,73.81175709978113,0.0,6769358.0,,,,0,0.0,,0.0,,2003-11-01,0,0,73.81175709978113,271899.015,0.48029445742780985,0.48029445742780985,0
AK,2003,12,56909.0,0.0,140786.0,330089.0,0.0,0.0,502.0,0.0,103295.0,0.0,0.0,631656.0,0.0,76.0,631657.0,141364.0,490293.0,0.0,22.379867554701367,77.62013244529864,0.0,7655886.0,,,,0,0.0,,0.0,,2003-12-01,1,0,77.62013244529864,323653.20499999996,0.5123875853509103,0.5123875853509103,0
AK,2004,1,54791.0,0.0,123883.0,358272.0,0.0,0.0,736.0,0.0,92402.0,0.0,0.0,630134.0,0.0,51.0,630135.0,124670.0,505465.0,0.0,19.78464932117721,80.2153506788228,0.0,8167744.9399999995,,,,0,0.0,,0.0,,2004-01-01,1,0,80.2153506788228,322513.855,0.5118170788799226,0.5118170788799226,0
AK,2004,2,54523.0,0.0,115076.0,317002.0,0.0,0.0,736.0,0.0,79324.0,0.0,0.0,566724.0,0.0,63.0,566724.0,115875.0,450849.0,0.0,20.446460711033943,79.55353928896606,0.0,7297670.14,,,,0,0.0,,0.0,,2004-02-01,1,0,79.55353928896606,289509.115,0.5108467525638583,0.5108467525638583,0
AK,2004,3,56212.0,0.0,128544.0,291330.0,0.0,0.0,736.0,0.0,71817.0,0.0,0.0,548703.0,0.0,64.0,548703.0,129344.0,419359.0,0.0,23.572679573466885,76.42732042653311,0.0,6207719.98,,,,0,0.0,,0.0,,2004-03-01,0,0,76.42732042653311,271716.635,0.49519801240379585,0.49519801240379585,0
AK,2004,4,53537.0,0.0,110416.0,266157.0,0.0,0.0,736.0,0.0,53952.0,0.0,0.0,484846.0,0.0,49.0,484847.0,111201.0,373646.0,0.0,22.93527648928425,77.06472351071575,0.0,5698022.140000001,,,,0,0.0,,0.0,,2004-04-01,0,0,77.06472351071575,238254.07,0.49140052428910563,0.49140052428910563,0
AK,2004,5,51931.0,0.0,96479.0,294932.0,0.0,0.0,736.0,0.0,49762.0,0.0,0.0,493888.0,0.0,48.0,493888.0,97263.0,396625.0,0.0,19.693331281586108,80.30666871841389,0.0,6583827.899999999,,,,0,0.0,,0.0,,2004-05-01,0,0,80.30666871841389,245093.655,0.49625351294220554,0.49625351294220554,0
AK,2004,6,51460.0,0.0,102088.0,298882.0,0.0,0.0,736.0,0.0,47234.0,0.0,0.0,500427.0,0.0,27.0,500427.0,102851.0,397576.0,0.0,20.552648038575057,79.44735196142494,0.0,7192298.16,,,,0,0.0,,0.0,,2004-06-01,1,0,79.44735196142494,243673.41999999998,0.48693100092520986,0.48693100092520986,0
AK,2004,7,46939.0,0.0,137438.0,304598.0,0.0,0.0,736.0,0.0,67023.0,0.0,0.0,556776.0,0.0,42.0,556776.0,138216.0,418560.0,0.0,24.824345876977453,75.17565412302254,0.0,7347468.4,,,,0,0.0,,0.0,,2004-07-01,1,0,75.17565412302254,262308.57,0.4711204685546791,0.4711204685546791,0
AK,2004,8,55097.0,0.0,159831.0,267587.0,0.0,0.0,736.0,0.0,66204.0,0.0,0.0,549458.0,0.0,4.0,549459.0,160571.0,388888.0,0.0,29.22347254299229,70.77652745700772,0.0,6528405.779999999,,,,0,0.0,,0.0,,2004-08-01,1,0,70.77652745700772,253692.5,0.4617132488502327,0.4617132488502327,0
AK,2004,9,53264.0,0.0,145614.0,266196.0,0.0,0.0,736.0,0.0,58261.0,0.0,0.0,524071.0,0.0,0.0,524071.0,146350.0,377721.0,0.0,27.925605500018126,72.07439449998188,0.0,6527306.7,,,,0,0.0,,0.0,,2004-09-01,0,0,72.07439449998188,242556.505,0.4628313816257721,0.4628313816257721,0
AK,2004,10,56711.0,0.0,124592.0,283659.0,0.0,0.0,736.0,0.0,55581.0,0.0,0.0,521298.0,0.0,19.0,521298.0,125347.0,395951.0,0.0,24.04517185947385,75.95482814052615,0.0,5998536.4799999995,,,,0,0.0,,0.0,,2004-10-01,0,0,75.95482814052615,251491.375,0.48243303254568404,0.48243303254568404,0
AK,2004,11,57125.0,0.0,131213.0,305039.0,0.0,0.0,736.0,0.0,48909.0,0.0,0.0,543032.0,0.0,11.0,543033.0,131960.0,411073.0,0.0,24.300548953746826,75.69945104625317,0.0,6443970.88,,,,0,0.0,,0.0,,2004-11-01,0,0,75.69945104625317,254575.205,0.46880245767752604,0.46880245767752604,0
AK,2004,12,57391.0,0.0,122847.0,369778.0,0.0,0.0,736.0,0.0,56598.0,0.0,0.0,607360.0,0.0,10.0,607360.0,123593.0,483767.0,0.0,20.349216280295046,79.65078371970495,0.0,8130938.62,,,,0,0.0,,0.0,,2004-12-01,1,0,79.65078371970495,292516.825,0.4816201676106428,0.4816201676106428,0
AK,2005,1,57267.0,0.0,127526.0,338815.0,0.0,0.0,381.0,0.0,103228.0,0.0,0.0,627253.0,23.0,13.0,627253.0,127943.0,499310.0,0.0,20.39735162685551,79.60264837314449,0.0,7515168.279999999,,101.1657962826042,,0,0.0,,0.0,,2005-01-01,1,0,79.60264837314449,327951.35000000003,0.5228374356121055,0.5228374356121055,0
AK,2005,2,51496.0,0.0,117654.0,297984.0,0.0,0.0,340.0,0.0,57838.0,0.0,0.0,525352.0,30.0,10.0,525352.0,118034.0,407318.0,0.0,22.46760267401666,77.53239732598334,0.0,6458672.899999999,,101.1657962826042,,0,0.0,,0.0,,2005-02-01,1,0,77.53239732598334,254598.23,0.4846240806164248,0.4846240806164248,0
