k,Beta,SE,P,CI_lo,CI_hi
-1,0.0,0.0,1.0,0.0,0.0
0,-0.02772,0.02006,0.1678,-0.06715,0.01172
1,-0.00366,0.04341,0.9328,-0.08901,0.08168
2,-0.02336,0.03663,0.5241,-0.09536,0.04865
3,-0.02458,0.03967,0.5358,-0.10257,0.0534
4,-0.0197,0.04932,0.6897,-0.11666,0.07725
5,-0.04647,0.045,0.3024,-0.13492,0.04199
6,-0.0762,0.04938,0.1236,-0.17328,0.02088
7,-0.07508,0.04709,0.1116,-0.16765,0.01749
8,-0.08849,0.05177,0.0881,-0.19026,0.01328
9,-0.09267,0.0538,0.0857,-0.19843,0.01309
10,-0.10439,0.06301,0.0984,-0.22827,0.01949
