trial_id,units_1,units_2,dropout,lr,val_loss,rank
0082,128,32,0.1,0.001,0.00035549,1
0086,32,64,0.2,0.0005,0.00036442,2
0072,64,64,0.1,0.0005,0.00040499,3
0083,64,64,0.3,0.0005,0.00040995,4
0070,64,64,0.1,0.0005,0.00041301,5
0050,128,64,0.3,0.001,0.00041937,6
0073,64,64,0.1,0.001,0.00042477,7
0048,128,64,0.3,0.001,0.00042478,8
0036,64,64,0.2,0.001,0.00043141,9
0051,64,64,0.2,0.001,0.00043264,10
0005,128,64,0.1,0.001,0.00043458,11
0067,64,64,0.1,0.001,0.0004477,12
0069,128,64,0.2,0.001,0.00048569,13
0046,64,64,0.2,0.001,0.00049552,14
0079,128,32,0.1,0.001,0.00049825,15
0085,128,64,0.2,0.0001,0.00050259,16
0089,64,64,0.2,0.0001,0.00050951,17
0088,128,16,0.1,0.0005,0.00052334,18
0035,64,64,0.3,0.001,0.00052756,19
0087,64,32,0.1,0.0001,0.00053814,20
0049,32,64,0.2,0.001,0.00054407,21
0047,64,64,0.3,0.001,0.00054874,22
0080,64,64,0.3,0.0005,0.0005562,23
0057,64,64,0.1,0.001,0.00056642,24
0071,64,16,0.1,0.0005,0.00056672,25
0066,128,32,0.2,0.0005,0.00057497,26
0076,64,16,0.1,0.001,0.00058785,27
0037,128,64,0.3,0.001,0.0005968,28
0074,128,32,0.3,0.001,0.00059754,29
0052,128,64,0.2,0.001,0.0006132,30
0059,64,64,0.1,0.0005,0.00061462,31
0044,32,64,0.2,0.001,0.00062403,32
0042,32,64,0.1,0.001,0.00062483,33
0068,128,32,0.2,0.0005,0.00063255,34
0045,128,64,0.1,0.0001,0.00066287,35
0026,64,64,0.3,0.001,0.00066891,36
0060,64,16,0.1,0.0005,0.00067782,37
0058,32,32,0.3,0.0005,0.00068741,38
0039,32,32,0.2,0.001,0.00069377,39
0064,128,16,0.1,0.0001,0.00069388,40
0015,64,64,0.2,0.001,0.00069451,41
0065,128,16,0.1,0.001,0.00069703,42
0018,128,64,0.3,0.001,0.00069981,43
0010,64,32,0.1,0.0005,0.00070577,44
0075,128,16,0.2,0.001,0.00070685,45
0053,32,64,0.3,0.001,0.00071027,46
0084,64,16,0.1,0.001,0.00076883,47
0003,32,32,0.2,0.001,0.0007773,48
0034,128,64,0.1,0.001,0.00079539,49
0040,32,32,0.1,0.001,0.00079753,50
0031,32,32,0.1,0.001,0.00082347,51
0038,64,32,0.1,0.0005,0.00082739,52
0000,32,64,0.1,0.0005,0.0008326,53
0025,32,64,0.1,0.001,0.00083424,54
0061,64,64,0.3,0.0001,0.00084345,55
0013,128,16,0.2,0.0005,0.00086101,56
0017,32,64,0.2,0.001,0.00086984,57
0077,32,32,0.3,0.001,0.00088422,58
0032,128,64,0.1,0.0001,0.00090302,59
0041,32,64,0.1,0.0005,0.00092829,60
0081,32,16,0.3,0.001,0.00093323,61
0006,32,64,0.3,0.0005,0.00095481,62
0078,128,16,0.3,0.001,0.00095688,63
0043,128,16,0.2,0.0005,0.00097816,64
0054,64,32,0.2,0.0001,0.0009906,65
0011,64,32,0.3,0.0005,0.00100298,66
0019,64,32,0.1,0.001,0.00102644,67
0022,64,64,0.2,0.0005,0.00103363,68
0009,128,32,0.1,0.0001,0.00107198,69
0001,32,16,0.1,0.0005,0.00109222,70
0023,64,32,0.2,0.0005,0.00112279,71
0063,128,64,0.3,0.0001,0.00114244,72
0062,32,64,0.1,0.0001,0.00116673,73
0033,32,16,0.3,0.0005,0.00120263,74
0027,64,64,0.1,0.0001,0.0012117,75
0021,64,16,0.3,0.0005,0.00131097,76
0056,64,16,0.2,0.0005,0.00145562,77
0028,128,32,0.3,0.0001,0.00154586,78
0020,128,32,0.2,0.0001,0.00161518,79
0002,128,32,0.3,0.0005,0.00175774,80
0024,128,16,0.3,0.0001,0.00217252,81
0016,64,16,0.2,0.001,0.00244655,82
0055,64,16,0.3,0.001,0.00257702,83
0029,32,64,0.2,0.0001,0.00297855,84
0004,64,16,0.3,0.0001,0.00297948,85
0008,32,32,0.1,0.0001,0.00396136,86
0030,32,32,0.2,0.0001,0.00425193,87
0014,32,64,0.3,0.0001,0.00717295,88
0007,32,16,0.3,0.0001,0.00944872,89
0012,32,16,0.1,0.0001,0.01302204,90
