Feature,SHAP_mean,SHAP_pct
RPS_Target_Pct,1.3732157,17.413908
Fossil_Intensity,1.2896607,16.354338
Clean_Share,1.0279125,13.035078
CDD,0.80073816,10.154254
Renewable_Share_Pct,0.7847862,9.951965
HDD,0.5515598,6.9943943
Nuclear_Share_Pct,0.49663314,6.2978635
CO2_YoY_Change,0.396063,5.0225215
Fossil_to_Renewable_Ratio,0.28138423,3.5682664
Avg_Temp_F,0.2689094,3.4100716
RPS_Maturity,0.2319371,2.9412215
GDP_Growth_Rate_Annual,0.19005325,2.4100876
Temp_Extreme,0.13452514,1.7059289
Has_RPS,0.058362134,0.74009705
