Feature_A,Feature_B,Mean_Abs_Interaction,Rank
RPS_Target_Pct,CDD,0.11591,1
RPS_Target_Pct,Nuclear_Share_Pct,0.090583,2
Fossil_Intensity,RPS_Target_Pct,0.086347,3
RPS_Target_Pct,HDD,0.077282,4
RPS_Target_Pct,Avg_Temp_F,0.05812,5
Fossil_Intensity,Nuclear_Share_Pct,0.054946,6
Renewable_Share_Pct,RPS_Target_Pct,0.052496,7
Avg_Temp_F,Nuclear_Share_Pct,0.046947,8
RPS_Target_Pct,Clean_Share,0.044918,9
RPS_Target_Pct,CO2_YoY_Change,0.04184,10
GDP_Growth_Rate_Annual,CO2_YoY_Change,0.040897,11
Fossil_Intensity,Renewable_Share_Pct,0.040113,12
Fossil_Intensity,CO2_YoY_Change,0.039891,13
Nuclear_Share_Pct,Clean_Share,0.038802,14
Fossil_Intensity,CDD,0.036156,15
RPS_Maturity,CDD,0.03388,16
HDD,CO2_YoY_Change,0.033005,17
GDP_Growth_Rate_Annual,Nuclear_Share_Pct,0.032528,18
RPS_Target_Pct,RPS_Maturity,0.030568,19
Fossil_Intensity,Clean_Share,0.030415,20
Renewable_Share_Pct,CDD,0.030237,21
Avg_Temp_F,CDD,0.028606,22
HDD,CDD,0.028467,23
Renewable_Share_Pct,RPS_Maturity,0.027259,24
Nuclear_Share_Pct,HDD,0.02579,25
Renewable_Share_Pct,Fossil_to_Renewable_Ratio,0.025538,26
RPS_Target_Pct,Fossil_to_Renewable_Ratio,0.024828,27
Nuclear_Share_Pct,CO2_YoY_Change,0.024163,28
Renewable_Share_Pct,Clean_Share,0.024145,29
Nuclear_Share_Pct,RPS_Maturity,0.023685,30
Clean_Share,CO2_YoY_Change,0.022309,31
Renewable_Share_Pct,Avg_Temp_F,0.021877,32
Clean_Share,HDD,0.021579,33
Fossil_Intensity,HDD,0.021344,34
Avg_Temp_F,Clean_Share,0.021289,35
Fossil_Intensity,RPS_Maturity,0.020502,36
Clean_Share,CDD,0.019876,37
Clean_Share,RPS_Maturity,0.019435,38
Nuclear_Share_Pct,CDD,0.018702,39
Renewable_Share_Pct,Has_RPS,0.016257,40
Fossil_Intensity,Avg_Temp_F,0.01602,41
Fossil_Intensity,Fossil_to_Renewable_Ratio,0.015371,42
Avg_Temp_F,RPS_Maturity,0.01458,43
Fossil_Intensity,Temp_Extreme,0.013896,44
Renewable_Share_Pct,GDP_Growth_Rate_Annual,0.013743,45
Temp_Extreme,Clean_Share,0.013594,46
RPS_Target_Pct,GDP_Growth_Rate_Annual,0.013255,47
Renewable_Share_Pct,Nuclear_Share_Pct,0.013209,48
Temp_Extreme,CO2_YoY_Change,0.013209,49
Renewable_Share_Pct,Temp_Extreme,0.013195,50
Nuclear_Share_Pct,Fossil_to_Renewable_Ratio,0.01295,51
Fossil_to_Renewable_Ratio,CDD,0.012723,52
Fossil_to_Renewable_Ratio,CO2_YoY_Change,0.012719,53
RPS_Maturity,Fossil_to_Renewable_Ratio,0.012616,54
Avg_Temp_F,GDP_Growth_Rate_Annual,0.012395,55
CDD,CO2_YoY_Change,0.011903,56
Renewable_Share_Pct,HDD,0.01139,57
Renewable_Share_Pct,CO2_YoY_Change,0.01104,58
Fossil_Intensity,GDP_Growth_Rate_Annual,0.011,59
Clean_Share,Fossil_to_Renewable_Ratio,0.010418,60
GDP_Growth_Rate_Annual,HDD,0.010318,61
GDP_Growth_Rate_Annual,Clean_Share,0.010251,62
GDP_Growth_Rate_Annual,RPS_Maturity,0.010125,63
Has_RPS,RPS_Target_Pct,0.008931,64
Avg_Temp_F,CO2_YoY_Change,0.008561,65
Avg_Temp_F,Fossil_to_Renewable_Ratio,0.007459,66
Fossil_to_Renewable_Ratio,HDD,0.006912,67
RPS_Maturity,HDD,0.00687,68
GDP_Growth_Rate_Annual,CDD,0.00673,69
Fossil_Intensity,Has_RPS,0.006687,70
Temp_Extreme,CDD,0.006308,71
Avg_Temp_F,HDD,0.00618,72
Temp_Extreme,Nuclear_Share_Pct,0.005824,73
Has_RPS,Nuclear_Share_Pct,0.005806,74
Temp_Extreme,Fossil_to_Renewable_Ratio,0.005763,75
RPS_Maturity,CO2_YoY_Change,0.004921,76
Avg_Temp_F,Temp_Extreme,0.004524,77
GDP_Growth_Rate_Annual,Fossil_to_Renewable_Ratio,0.004246,78
Temp_Extreme,HDD,0.002854,79
Temp_Extreme,RPS_Maturity,0.002535,80
GDP_Growth_Rate_Annual,Temp_Extreme,0.002395,81
Has_RPS,Avg_Temp_F,0.00215,82
Has_RPS,Clean_Share,0.002093,83
RPS_Target_Pct,Temp_Extreme,0.001255,84
Has_RPS,Temp_Extreme,0.0,85
Has_RPS,GDP_Growth_Rate_Annual,0.0,86
Has_RPS,RPS_Maturity,0.0,87
Has_RPS,Fossil_to_Renewable_Ratio,0.0,88
Has_RPS,HDD,0.0,89
Has_RPS,CDD,0.0,90
Has_RPS,CO2_YoY_Change,0.0,91
